taxon	n_snp	or_displayed	lci	uci	b_recon	se_recon	p_stored	p_recon	log10p_delta	qc
family.Verrucomicrobiaceae.id.4036	12	0.99	0.87	1.12	-0.012967	0.064438	0.8287580406985832	0.8405197932566287	0.0061	PASS
genus.Akkermansia.id.4037	12	0.99	0.87	1.12	-0.012967	0.064438	0.8291646875369204	0.8405197932566287	0.0059	PASS
genus.Flavonifractor.id.2059	5	0.98	0.82	1.18	-0.016468	0.09285	0.8346817857092368	0.8592224836567647	0.0126	PASS
genus.Coprococcus1.id.11301	12	0.98	0.85	1.14	-0.015745	0.074886	0.8370569187365371	0.8334665041504685	0.0019	PASS
genus.Fusicatenibacter.id.11305	18	1.01	0.89	1.15	0.011614	0.065383	0.8399629043006983	0.8590121058621691	0.0097	PASS
genus.Hungatella.id.11306	6	0.99	0.89	1.1	-0.010612	0.054043	0.8454519211683987	0.8443288590294779	0.0006	PASS
genus..Eubacteriumeligensgroup.id.14372	7	1.02	0.85	1.23	0.022248	0.09427	0.84919659918064	0.8134342303516514	0.0187	PASS
family.Defluviitaleaceae.id.1924	11	1.02	0.87	1.19	0.017346	0.079903	0.8506315283935066	0.8281440403733091	0.0116	PASS
genus.unknowngenus.id.826	14	1.01	0.87	1.18	0.013126	0.077751	0.8511062029562235	0.8659347869792415	0.0075	PASS
order.Erysipelotrichales.id.2148	13	1.02	0.86	1.2	0.015749	0.084987	0.8535341126310745	0.852982937847947	0.0003	PASS
family.Erysipelotrichaceae.id.2149	13	1.02	0.86	1.2	0.015749	0.084987	0.8535341126310745	0.852982937847947	0.0003	PASS
class.Erysipelotrichia.id.2147	13	1.02	0.86	1.2	0.015749	0.084987	0.8535341126310745	0.852982937847947	0.0003	PASS
genus.Terrisporobacter.id.11348	5	1.01	0.87	1.18	0.013126	0.077751	0.8600742302174675	0.8659347869792415	0.0029	PASS
genus.Streptococcus.id.1853	17	0.99	0.83	1.17	-0.014663	0.087587	0.8652728979192663	0.8670471420614297	0.0009	PASS
phylum.Verrucomicrobia.id.3982	12	0.99	0.87	1.13	-0.008522	0.066705	0.8668636366890653	0.8983394151675983	0.0155	PASS
genus.Ruminococcus1.id.11373	10	1.01	0.87	1.18	0.013126	0.077751	0.8695314464102741	0.8659347869792415	0.0018	PASS
genus.RuminococcaceaeUCG003.id.11361	12	1.01	0.87	1.17	0.008871	0.075579	0.8764817449519734	0.9065659518241687	0.0147	PASS
genus.ErysipelotrichaceaeUCG003.id.11384	17	0.99	0.89	1.11	-0.006087	0.056352	0.8764821425701927	0.9139824851398498	0.0182	PASS
genus.Coprobacter.id.949	11	0.99	0.87	1.13	-0.008522	0.066705	0.8782419877676411	0.8983394151675983	0.0098	PASS
genus.Methanobrevibacter.id.123	6	1.01	0.89	1.15	0.011614	0.065383	0.88039035869291	0.8590121058621691	0.0107	PASS
genus.Ruminiclostridium5.id.11355	11	0.99	0.84	1.16	-0.012967	0.082342	0.8855225056275011	0.874871106790746	0.0053	PASS
genus.Eisenbergiella.id.11304	11	1.01	0.92	1.1	0.005964	0.045585	0.8882912614991116	0.8959039344764363	0.0037	PASS
genus.RikenellaceaeRC9gutgroup.id.11191	11	1.0	0.93	1.07	-0.002456	0.035773	0.8990139514308542	0.9452643253629672	0.0218	PASS
phylum.Euryarchaeota.id.55	11	0.99	0.91	1.09	-0.004066	0.046044	0.9155286922401292	0.9296240122878587	0.0066	PASS
genus.Erysipelatoclostridium.id.11381	15	1.01	0.9	1.12	0.003984	0.055789	0.916135744395881	0.9430687951325675	0.0126	PASS
genus.LachnospiraceaeND3007group.id.11317	3	1.02	0.73	1.42	0.017973	0.16974	0.91749272433158	0.9156728032160586	0.0009	PASS
genus.RuminococcaceaeUCG014.id.11371	11	0.99	0.87	1.13	-0.008522	0.066705	0.9241136463280116	0.8983394151675983	0.0123	PASS
genus.Dialister.id.2183	11	0.99	0.87	1.14	-0.004117	0.068953	0.9296577315944952	0.9523897728788918	0.0105	PASS
genus.RuminococcaceaeUCG002.id.11360	21	1.0	0.91	1.11	0.005025	0.050682	0.9412040631617736	0.9210266182901231	0.0094	PASS
genus.unknowngenus.id.2755	13	1.0	0.9	1.12	0.003984	0.055789	0.9415915187590168	0.9430687951325675	0.0007	PASS
genus.RuminococcaceaeUCG009.id.11366	11	1.0	0.91	1.11	0.005025	0.050682	0.9459690681948948	0.9210266182901231	0.0116	PASS
genus.Gordonibacter.id.821	11	1.0	0.92	1.1	0.005964	0.045585	0.9467570393717378	0.8959039344764363	0.024	PASS
genus.CandidatusSoleaferrea.id.11350	10	1.0	0.88	1.13	-0.002808	0.06379	0.9496742545980766	0.9648903722405979	0.0069	PASS
genus.FamilyXIIIUCG001.id.11294	8	1.01	0.8	1.26	0.003984	0.115884	0.952456508570006	0.9725740801257169	0.0091	PASS
genus.Tyzzerella3.id.11335	13	1.0	0.92	1.09	0.001398	0.043256	0.952823954589887	0.9742165131736651	0.0096	PASS
genus.RuminococcaceaeUCG004.id.11362	11	0.99	0.8	1.23	-0.008065	0.109736	0.9585365360241612	0.9414148749936679	0.0078	PASS
genus.Lachnoclostridium.id.11308	13	1.0	0.86	1.15	-0.00553	0.07413	0.9588264865985834	0.9405290581339245	0.0084	PASS
genus..Eubacteriumhalliigroup.id.11338	14	1.0	0.87	1.15	0.00025	0.071181	0.9593821236872752	0.9971983934674169	0.0168	PASS
order.Rhodospirillales.id.2667	14	1.0	0.9	1.11	-0.0005	0.053501	0.9651339590510488	0.9925396686526008	0.0122	PASS
genus.LachnospiraceaeUCG001.id.11321	13	1.0	0.89	1.13	0.002842	0.060907	0.9674986202126578	0.962784434470148	0.0021	PASS
genus.RuminococcaceaeUCG005.id.11363	14	1.0	0.88	1.13	-0.002808	0.06379	0.969274976139546	0.9648903722405979	0.002	PASS
genus..Eubacteriumxylanophilumgroup.id.14375	9	1.0	0.78	1.3	0.006951	0.130315	0.9697347114208404	0.9574582730561991	0.0055	PASS
genus..Ruminococcusgauvreauiigroup.id.11342	12	1.0	0.88	1.14	0.001597	0.066037	0.9709482280775292	0.9807010293231124	0.0043	PASS
