taxon	n	OR	b	se	p	qp	or_eg	p_eg	pleio_p	p_wm	fdr
phylum.Tenericutes.id.3919	13	0.9462765580034231	-0.05522040804212034	0.02914525699743014	0.05813720819673089	0.7195366389456226	1.0113004970024995	0.9053062180525832	0.46961233178076206	0.23096752731657444	0.6681724913637144
class.Mollicutes.id.3920	13	0.9462765580034231	-0.05522040804212034	0.02914525699743014	0.05813720819673089	0.7195366389456226	1.0113004970024995	0.9053062180525832	0.46961233178076206	0.22233051214951172	0.6681724913637144
class.Bacteroidia.id.912	14	1.0735661421029443	0.07098594994862646	0.03785685074874003	0.06077689982605466	0.12108431535476068	0.9944121280989748	0.9465719571019345	0.3128410755933761	0.5927076981580803	0.6681724913637144
order.Bacteroidales.id.913	14	1.0735661421029443	0.07098594994862646	0.03785685074874003	0.06077689982605466	0.12108431535476068	0.9944121280989748	0.9465719571019345	0.3128410755933761	0.5814621810457659	0.6681724913637144
genus.Parabacteroides.id.954	7	1.0931294996118346	0.08904468306523942	0.04759221368691402	0.061346096701083444	0.5623488414837299	1.2983320861303258	0.11059180032139458	0.23885709437382802	0.5679202169552713	0.6681724913637144
genus.Clostridiumsensustricto1.id.1873	7	0.9318982509272776	-0.07053164308114182	0.03830602540068971	0.0655823547074135	0.850349454371123	0.8681779277606797	0.04290610451293824	0.19221194439075986	0.18605772707396429	0.6681724913637144
genus.Ruminococcus2.id.11374	15	0.9488402331217006	-0.05251484742006551	0.029750365893098103	0.0775329735300048	0.41823756308018006	0.892220596338742	0.13437512050879705	0.3603318046312511	0.11152786686141959	0.6681724913637144
family.unknownfamily.id.1000005471	14	0.9532415251809208	-0.04788697073148409	0.02748480355436129	0.08145470672931099	0.6333985537924676	0.9602993198965273	0.6310427186101717	0.9262046714367305	0.21198015832037853	0.6681724913637144
order.MollicutesRF9.id.11579	14	0.9532415251809208	-0.04788697073148409	0.02748480355436129	0.08145470672931099	0.6333985537924676	0.9602993198965273	0.6310427186101717	0.9262046714367305	0.20986469291418253	0.6681724913637144
genus.unknowngenus.id.1000005472	14	0.9532415251809208	-0.04788697073148409	0.02748480355436129	0.08145470672931099	0.6333985537924676	0.9602993198965273	0.6310427186101717	0.9262046714367305	0.21419943489491033	0.6681724913637144
order.Erysipelotrichales.id.2148	13	1.0792080987877493	0.07622753031963828	0.04621112185243747	0.09903512264838972	0.13030841709559413	1.4226064071071356	0.0984991752100086	0.17433112410171495	0.16685042279298412	0.6681724913637144
class.Erysipelotrichia.id.2147	13	1.0792080987877493	0.07622753031963828	0.04621112185243747	0.09903512264838972	0.13030841709559413	1.4226064071071356	0.0984991752100086	0.17433112410171495	0.1897474997311268	0.6681724913637144
family.Erysipelotrichaceae.id.2149	13	1.0792080987877493	0.07622753031963828	0.04621112185243747	0.09903512264838972	0.13030841709559413	1.4226064071071356	0.0984991752100086	0.17433112410171495	0.1748704663945556	0.6681724913637144
genus..Clostridiuminnocuumgroup.id.14397	9	1.038643534346232	0.037915567923803184	0.02299557539791517	0.09918448696064633	0.9358196792254562	1.0566010401715784	0.49706973607846017	0.8266777682217874	0.18038881635670945	0.6681724913637144
genus.RuminococcaceaeUCG009.id.11366	12	1.0505044023774772	0.049270432038998696	0.029950191327585925	0.09995351209171571	0.1472919635696421	1.1705074621549922	0.2657074295857296	0.42493653641538737	0.67597054160211	0.6681724913637144
genus.LachnospiraceaeND3007group.id.11317	3	1.1289092890129508	0.12125193562687755	0.07452224685174702	0.10372501456098195	0.9060691897270623	0.8928379546903482	0.8581652931490307	0.7204271373060176	0.2679518935676346	0.6681724913637144
genus.ErysipelotrichaceaeUCG003.id.11384	17	0.9419259025125066	-0.05982866725279224	0.036893228855128704	0.1048738815119988	0.02419009691751407	0.7976128566510728	0.027575550322250744	0.07275380539013525	0.08432201744656485	0.6681724913637144
