taxon	committed_n	A_n	B_n	committed_p	A_p	B_p	committed_b	B_b	committed_se	B_se	committed_p_egger	A_p_egger	B_p_egger	committed_q_p	A_q_p	B_q_p	reproduces_A	reproduces_B
genus.Anaerotruncus.id.2054	12	12	12	0.25386469105491816	0.25386469105491816	0.25386469105491816	-0.16122534428212523	-0.16122534428212523	0.14130023467854608	0.14130023467854608	0.0004995407563471291	0.19241024942682097	0.0004995407563471292	0.6734847993610288	0.6734847993610288	0.6734847993610288	True	True
genus.Actinomyces.id.423	8	8	8	0.2572882381058017	0.2572882381058017	0.2572882381058017	0.12793899462059782	0.12793899462059782	0.112938119910337	0.112938119910337	0.7601085410995327	0.12474357626386837	0.7601085410995335	0.4623562578076146	0.4623562578076148	0.4623562578076148	True	True
genus.Lachnospira.id.2004	6	6	6	0.26159632765982666	0.26159632765982666	0.26159632765982666	0.2405105765570825	0.2405105765570825	0.21423925341969094	0.21423925341969094	0.1598719119139744	0.15269794724312838	0.15987191191397404	0.8383176635181386	0.8383176635181386	0.8383176635181386	True	True
genus.Intestinimonas.id.2062	16	17	16	0.2630045827011096	0.14659090741073072	0.2630045827011096	-0.12919572390067932	-0.12919572390067932	0.11542362978656502	0.11542362978656502	0.6074130669876568	0.2701044158591825	0.6074130669876563	0.2086049569122136	0.22852219194722	0.20860495691221367	False	True
genus.LachnospiraceaeNC2004group.id.11316	9	10	9	0.27426224531479926	0.3025736574640504	0.27426224531479926	-0.11129155745276925	-0.11129155745276925	0.10179419233630373	0.10179419233630373	0.9587512037861174	0.20681710872391418	0.9587512037861186	0.7430998727057627	0.8102689233359481	0.7430998727057627	False	True
genus.Lactobacillus.id.1837	8	8	8	0.2833926923848321	0.227394381821321	0.2833926923848321	-0.11873796758364742	-0.11873796758364742	0.11068775020199632	0.11068775020199632	0.4085289159951913	0.48874199109925226	0.4085289159951918	0.2626087060442666	0.2626087060442665	0.2626087060442665	False	True
genus.Haemophilus.id.3698	9	9	9	0.2935864680723437	0.2935864680723437	0.2935864680723437	0.11099010535268428	0.11099010535268428	0.10567604047282966	0.10567604047282966	0.041029315794080055	0.15772456170687107	0.04102931579408009	0.9323405625937033	0.9323405625937033	0.9323405625937033	True	True
genus.Barnesiella.id.944	13	14	13	0.2952572774639848	0.226478605159519	0.2952572774639848	-0.156330071930906	-0.156330071930906	0.149361158373227	0.149361158373227	0.22940166411628723	0.8534903943073491	0.22940166411628718	0.16830144026372326	0.21926770235716422	0.1683014402637233	False	True
genus.Tyzzerella3.id.11335	13	13	13	0.29682989700236495	0.29682989700236495	0.29682989700236495	-0.08256174248916213	-0.08256174248916213	0.0791385515305513	0.0791385515305513	0.34161991824139765	0.05198913628064469	0.34161991824139754	0.9979633359996922	0.9979633359996922	0.9979633359996922	True	True
family.Peptostreptococcaceae.id.2042	13	14	13	0.3099426952411032	0.46384211079782356	0.3099426952411032	-0.11767643971824478	-0.11767643971824478	0.1158982952338097	0.1158982952338097	0.0074184563639246096	0.6645265598996631	0.007418456363924627	0.6697479226987543	0.6088730070231246	0.6697479226987542	False	True
phylum.Lentisphaerae.id.2238	9	10	9	0.32007702844169306	0.4448642495191605	0.32007702844169306	-0.0871059054820898	-0.0871059054820898	0.08760529032863054	0.08760529032863054	0.11549308492263334	0.5929105169920903	0.1154930849226335	0.6931005272601157	0.6994091561771378	0.6931005272601157	False	True
genus..Eubacteriumventriosumgroup.id.11341	15	16	15	0.32335317500274796	0.3263981517510953	0.32335317500274785	0.142029506126973	0.142029506126973	0.14381414849963778	0.14381414849963778	0.7499592201682127	0.4549400717783334	0.7499592201682134	0.14938494117188544	0.1660560462070624	0.14938494117188544	False	True
class.Melainabacteria.id.1589	10	11	10	0.3452761006132151	0.11177877941834927	0.345276100613215	-0.11510492118439734	-0.11510492118439734	0.12196008997742151	0.12196008997742151	0.1681375662126998	0.0877468714035518	0.16813756621269998	0.09179254389210414	0.1003229469500337	0.09179254389210409	False	True
family.Enterobacteriaceae.id.3469	7	7	7	0.3522349887229963	0.32994866025129155	0.3522349887229964	0.17190528802344657	0.17190528802344657	0.1847921598469172	0.1847921598469172	0.5198193646511575	0.33888271259113195	0.5198193646511579	0.36139955499209947	0.36139955499209936	0.36139955499209936	False	True
order.Enterobacteriales.id.3468	7	7	7	0.3522349887229963	0.32994866025129155	0.3522349887229964	0.17190528802344657	0.17190528802344657	0.1847921598469172	0.1847921598469172	0.5198193646511575	0.33888271259113195	0.5198193646511579	0.36139955499209947	0.36139955499209936	0.36139955499209936	False	True
genus.Odoribacter.id.952	7	9	7	0.3579014074660489	0.36114464311197725	0.3579014074660489	0.19442056769180308	0.19442056769180308	0.2114712222108428	0.2114712222108428	0.5312942945314223	0.2669239289780735	0.531294294531423	0.16246220584080942	0.2500233092344957	0.1624622058408095	False	True
genus.Prevotella9.id.11183	16	16	16	0.3772295825410147	0.31947909722200685	0.3772295825410147	-0.08982294988713528	-0.08982294988713528	0.101723318831774	0.101723318831774	0.010125305124346059	0.39887908557629553	0.010125305124346154	0.21074718418348362	0.21074718418348365	0.21074718418348365	False	True
genus..Eubacteriumhalliigroup.id.11338	14	14	14	0.38855215024500467	0.38855215024500467	0.38855215024500467	-0.10071004691114606	-0.10071004691114606	0.11679966571082091	0.11679966571082091	0.9703690380194943	0.5266739656061346	0.9703690380194941	0.5650361670516775	0.5650361670516775	0.5650361670516775	True	True
class.Alphaproteobacteria.id.2379	8	9	8	0.39024662575838065	0.41739361579179557	0.39024662575838065	-0.11607911084121934	-0.11607911084121934	0.13510607307387676	0.13510607307387676	0.30268596430904926	0.44666506159945574	0.3026859643090498	0.3704516589537469	0.45936667309004064	0.3704516589537466	False	True
genus.Collinsella.id.815	10	11	10	0.3984625397589959	0.5722557677854929	0.3984625397589959	0.13280633295361458	0.13280633295361458	0.157284476220823	0.157284476220823	0.429558975171208	0.45658254237575574	0.4295589751712078	0.7619697787365005	0.7222272807421743	0.7619697787365005	False	True
genus.RuminococcaceaeUCG010.id.11367	6	7	6	0.3992195260430893	0.20871169911017173	0.3992195260430893	0.14293291277294512	0.14293291277294512	0.1695494771643663	0.1695494771643663	0.7719588021518429	0.360232815311182	0.771958802151843	0.36951218461809604	0.3905783559138626	0.3695121846180955	False	True
