taxon	committed_n	A_n	B_n	committed_p	A_p	B_p	committed_b	B_b	committed_se	B_se	committed_p_egger	A_p_egger	B_p_egger	committed_q_p	A_q_p	B_q_p	reproduces_A	reproduces_B
genus.Sellimonas.id.14369	10	10	10	0.2474624331801685	0.24746243318016858	0.24746243318016858		0.041282261227138274		0.03569478210768103	0.0124019717769647	0.1254104898248682	0.012401971776964716	0.9545031117904542	0.9545031117904542	0.9545031117904542	True	True
order.Clostridiales.id.1863	13	14	12	0.2573657599987221	0.10298532297586284	0.28689484833571743		-0.09487882004260967		0.08909159113128261	0.3895980587723391	0.20488867430602833	0.41323762996912267	0.266097338736081	0.26629104053710206	0.2036031658040124	False	False
family.Porphyromonadaceae.id.943	10	12	10	0.2616353148569381	0.14808088963888866	0.26163531485693814		0.15612752322080586		0.13908485250115454	0.1900665363165997	0.5322045825457054	0.1900665363166003	0.0084088231435185	0.011804164366282094	0.008408823143518521	False	True
family.Rikenellaceae.id.967	18	18	18	0.2702071387440753	0.1847133675702345	0.2702071387440753		-0.08241739337409242		0.07474919733942834	0.6811697211054749	0.42237293590640923	0.6811697211054752	0.1039919328583513	0.10399193285835134	0.10399193285835134	False	True
family.Ruminococcaceae.id.2050	10	10	10	0.2749727772853787	0.2749727772853786	0.2749727772853786		0.08178044655997561		0.07491231486643306	0.9384975996391374	0.3627335022224705	0.9384975996391374	0.518741092606192	0.518741092606192	0.518741092606192	True	True
family.unknownfamily.id.1000001214	9	10	9	0.279712768256565	0.139223010200066	0.279712768256565		-0.056845802791348196		0.0525880235612232	0.0806427816936744	0.0844466327505676	0.08064278169367439	0.6032281439665157	0.5884973034108532	0.6032281439665157	False	True
order.Gastranaerophilales.id.1591	9	10	9	0.279712768256565	0.139223010200066	0.279712768256565		-0.056845802791348196		0.0525880235612232	0.0806427816936744	0.0844466327505676	0.08064278169367439	0.6032281439665157	0.5884973034108532	0.6032281439665157	False	True
genus.unknowngenus.id.1000001215	9	10	9	0.279712768256565	0.139223010200066	0.279712768256565		-0.056845802791348196		0.0525880235612232	0.0806427816936744	0.0844466327505676	0.08064278169367439	0.6032281439665157	0.5884973034108532	0.6032281439665157	False	True
genus.Collinsella.id.815	10	11	10	0.2869778888452773	0.09675860856767621	0.2869778888452773		0.13167474047312205		0.1236644130632181	0.8579387167163992	0.27370688259169224	0.8579387167164	0.0193060223172495	0.03131983442676214	0.019306022317249524	False	True
genus.Victivallis.id.2256	11	12	11	0.2897036030376352	0.22561243834887845	0.2897036030376352		0.03952980571453696		0.0373355204319367	0.4897599735082523	0.22900035577743197	0.48975997350825284	0.4228575009853634	0.5044040415634908	0.42285750098536323	False	True
family.Acidaminococcaceae.id.2166	7	8	7	0.2908214817433057	0.3443827370158896	0.2908214817433057		-0.08000219954850604		0.07573662025554558	0.1236787156708335	0.11837623950950041	0.12367871567083345	0.6028744863644089	0.6829327271813914	0.6028744863644091	False	True
family.FamilyXI.id.1936	8	8	8	0.2950378556514889	0.2718840639141141	0.29503785565148877		0.04405398597332947		0.042071017533013975	0.9262054880338616	0.25803357002046146	0.9262054880338624	0.3591486639222033	0.3591486639222029	0.3591486639222029	False	True
